id,type,name,date_of_birth,date_of_death
g.113qbhfkb,people.person,William Pierce Shepard,1870,1948
g.119x7656n,people.person,Georg Wratsch,1928-08-18,
g.11b62_kcp7,people.person,Rodolfo Alves de Melo,1991-03-19,
g.11b636rkvr,people.deceased_person,María Amalia de Borbón-Dos Sicilias,1818-02-25,1857-11-06
g.11b6bptfg0,people.person,Jose Manuel Martin Dockx,1974-01-07,
g.11b6bq0lp4,people.person,Susanne Linssen,1977-10-03,
g.11b6byq_v9,people.person,Zulfiandi,1995-07-17,
g.11b6cx0yg0,people.person,Chris Prickett,1983-09-21,
g.11b6gns9pl,people.person,Gabriel de Gravonne,1887-11-21,
g.11b6gprxxm,people.deceased_person,Gerhard Joop,1914,2007
g.11b6pkvylz,people.person,Erald Deliallisi,1982-03-12,
g.11b6szbf1p,people.person,佐藤大樹,1995-01-25,
g.11b7001fb0,people.person,Lars Ove Aunli,1993-03-08,
g.11bxwfn49v,people.person,Miloš Antić,1994-10-28,
g.11bxwk59ft,people.person,Maryon Eilertsen,1950-01-09,
g.11dyk4wc5,people.person,Andreas Dahlbäck,1967-08-06,
g.11r7rhhxd,people.person,Maya Fernandez Allende,1971-09-27,
g.11vk8r5hw,people.person,Ojārs Spārītis,1955-11-28,
g.11x984dqt,people.person,Viktorija Ni,1991-12-30,
g.120_f_cp,people.person,Silvano Michetti,1947-02-11,
g.120j3md_,people.person,Akiyoshi Sakai,1942-10-23,
g.120kg_z2,people.person,Paul Heermann,1673,1732
g.120kh8tc,people.person,Aki Mochida,1984-07-02,
g.120kn5rt,people.person,Lino Del Fra,1929-06-20,1997-07-20
g.120m0r6v,people.person,Egon Homm,1947-01-11,
g.120pnlv2,people.person,Héloïse Rauth,1978-05-06,
g.120qqkn7,people.deceased_person,Arne Bornebusch,1905-12-10,1973-10-13
g.120r4vl_,people.person,Francesco Fanciulli,1853,1915
g.120rrf0t,people.person,Pate Kivinen,1965-08-23,
g.120rs3gp,people.person,Rinus Ferdinandusse,1931-11-28,
g.120rsbpx,people.person,Georges Galley,1926-05-22,1994-12-07
g.120s1w9k,people.person,Anne Oppermann,1961-01-07,
g.120sk58z,people.deceased_person,"Henrique Afonso, Prince of Portugal",1147-02-17,1155-10-07
g.120spzxv,people.person,Paolo Monti,1908,1982
g.120t41y5,people.person,Wolfgang Rüter,1950,
g.120vzbv0,people.person,Lenka Dürr,1990-12-10,
g.120wl78v,people.person,Леонид Иванович Грач,1948-01-01,
g.120x69x3,people.deceased_person,Gottfried Kuhnt,1884-06-25,1967-11-30
g.120z_fct,people.person,François Corneloup,1963-01-14,
g.12105knw,people.deceased_person,永姫,1574,1623
g.1211j6lg,people.deceased_person,Robert Wlérick,1882,1944
g.1211psqf,people.person,Markéta Plánková,1978-04-15,
g.12129_2h,people.deceased_person,Gugu Dlamini,1962,1998
g.12129yr1,people.deceased_person,Bertus Botterman,1910-10-18,2001-11-07
g.1213p12x,people.person,Rakım Elkutlu,1869,1948
g.1213tk3q,people.person,Ilse Pfeffer,1955-06-09,
g.1213v4pb,people.person,Heinrich Nebenzahl,1870,1938-07-06
g.1214flyb,people.person,Robert Arrhenius,1979-05-14,
g.1214m4_8,people.person,Anders Jerichow,1956,
g.1214xmk2,people.person,Masaru Shiga,1942-01-13,
g.1215jgf5,people.person,Ján Mančuška,1972,
g.1215v78p,people.person,Dieter Obermeier,1936,
g.1215vjcg,people.person,坂口 良治,1959-04-25,
g.1215vtjv,people.person,Cesare Ludovici,1885-12-18,1968-03-25
g.1216fgwb,people.person,Markus Hochhaus,1968-04-16,
g.1216r7wl,people.person,Jon Drenning,1965-04-05,
g.1219bm7f,people.person,Aleksandr Valterovich Kussul,1963-07-25,1986-08-06
g.121_hssl,people.person,Patrick Glanzmann,1969-08-18,
g.121bvscj,people.person,Natalie Hochheim,1974-12-28,
g.121dc7xd,people.person,Stefano Andrea Renier,1759,1830
g.121djgvv,people.deceased_person,Fritz Mensing,1895-04-25,1978-11-02
g.121dv710,people.person,Achim Reichert,1941,
g.121dw5sg,people.person,Rosamund Bradbury,1988-12-17,
g.121fwr7y,people.deceased_person,André d'Ormesson,1877-02-24,1957-03-29
g.121fx0sj,people.person,Irmeli Mäkelä,1942-10-18,
g.121g1vj9,people.person,Carli Elinor,1890-09-21,1958-10-20
g.121g6h25,people.deceased_person,Alfred Kunze,1909-09-08,1996-07-19
g.121g730h,people.person,Ken Passmann,1985-04-14,
g.121gjvw4,people.person,田口智治,1960-10-27,
g.121h3gds,people.person,山本コウタロー,1948-09-07,
g.121kvrr_,people.person,Adolf Müller,1863-08-19,1943-09-05
g.121kw9hg,people.deceased_person,Maurice Leuvielle,1881-06-28,
g.121m_h81,people.deceased_person,Nina Mamayeva,1923,2001-08-14
g.121n9vm7,people.person,Amanda Acosta,1979,
g.121pdbgm,people.person,Nega Gizza,1977-06-22,
g.121pqd5q,people.person,Jacek Jędrzejak,1963-08-22,
g.121pvydf,people.person,Bernhard Peyer,1885,1963
g.121qyqgw,people.person,石田長生,1952-07-25,
g.121rj_2k,people.deceased_person,Carl Fredrik Piper,1700,1770
g.121tby0y,people.person,山本潤子,1949-12-30,
g.121thv5p,people.person,Peronne Hosang,1909-07-17,1972-01-12
g.121thw72,people.person,José Wasth Rodrigues,1891,1957
g.121vfff5,people.person,Harry Roeck-Hansen,1891-06-13,1959-08-08
g.121vr5hh,people.person,Edi Reichart,1957-02-17,
g.121w1hqh,people.person,Văn Ký Phạm,1913,
g.121wypvl,people.person,Martins Kleins,1938,2014
g.121yh29g,people.person,Julian Erhart,1992-05-04,
g.121ysxz7,people.person,โกร่ง กางเกงแดง,1928-06-27,2011-09-18
g.121zjqbm,people.person,Alexander Yakob,1958-07-14,
g.12208t1p,people.person,Dieter Dreyer,1940-01-21,
g.12214jvbt,people.person,Rogério Jacques,1958-05-12,
g.122226t1,people.deceased_person,Vasile Brescanu,1940-07-20,2010-01-03
g.12240f8h,people.person,Fred-Werner Bockholt,1943-06-24,
g.1224n8cc,people.person,Mario Schießer,1964-08-05,
g.1225dcy0,people.person,Peter Kaiser,1966-04-28,
g.1226fz22,people.person,Michael Jochum,1985-11-08,
g.1226lv8p,people.person,Michael Muck,1984-04-18,
g.1226mq2v,people.deceased_person,Ernesto Lugaro,1870,1940
g.1226mqyb,people.person,박현주,1968-12-13,
g.1226s930,people.person,أحمد الصافي النجفي,1897,1977-06-27
g.12288jnz,people.person,Daniel Reiter,1983-09-22,
g.1228917d,people.person,Carlos Illescas,1918-05-09,1998
g.1228lvs7,people.person,Niccolo Matas,1798,1872
g.1229189t,people.person,Monique van der Werff,1982-09-06,
g.1229kp55,people.person,Rolly Crump,1930-02-27,
g.122_97c4,people.person,Rainer Matthes,1941,
g.122_9fr1,people.deceased_person,Emili Godes,1895,1970
g.122_gfhb,people.person,Stefan Krebietke,1971-06-12,
g.122_gr_h,people.person,Ewa Kamler,1937,
g.122bft_y,people.person,Rainer Moosbauer,1985-03-20,
g.122c5y98,people.person,Lars-Uwe Lang,1980-09-26,
g.122fcjs2,people.deceased_person,Stanisław Kozicki,1876,1958
g.122g8hny,people.person,Martin Becker,1961-06-30,
g.122gfr93,people.person,Станислав Юрьевич Стрелков,1967-11-06,
g.122gwdkp,people.deceased_person,Albert Burger,1925-02-23,1981-10-10
g.122h6pwx,people.person,Ari Kristinsson,1951,
g.122h6q5j,people.person,Harald Braner,1943-08-19,
g.122jkfc1,people.person,Georg Schwarzenberger,1942-01-23,
g.122kcb9b,people.person,Richard Adams Locke,1800,1871
g.122mq_7d,people.person,Pierre Rocher,1898,1963
g.122mqpdg,people.person,Myno Burney,1907-08-16,1996-03-06
g.122n52ty,people.person,Margarete Zabe,1877-03-18,1963-12-01
g.122n5q8_,people.person,Michael Seidlmayer,1902,1961
g.122pk8bp,people.deceased_person,Fred Freed,1903-12-21,1983-08-31
g.122pkx9k,people.person,Xavier Percy,1963-11-12,
g.122qxpgd,people.person,Karl van Hall,1926-12-28,
g.122qyvcs,people.person,Rémy Galichet,1978-04-01,
g.122qywf2,people.person,夏韶聲,1952,
g.122rpgf9,people.person,Валерий Павлович Шувалов,1939-08-12,
g.122rvtsd,people.person,Lucienne Hamon,1930-08-22,
g.122sfv38,people.person,Wolfgang Schwenke,1968-03-27,
g.122t1p4b,people.person,Yngvar Hauge,1899,
g.122tnwd_,people.person,Dieter Flimm,1939-04-09,2002-07-23
g.122wnbcd,people.person,Masayuki Yamamoto,1951-07-11,
g.122x7tvd,people.person,Michael Givel,1954,
g.122y08_y,people.deceased_person,A.W.G. van Riemsdijk,1878-08-08,1930-05-02
g.1230280k,people.person,Martin Schwarzbach,1907,
g.12302jzd,people.person,Minami Hara,1995-12-24,
g.123142dr,people.person,Riccardo Lucciani,1931,
g.123212x6,people.person,Vasil Popiliev,1929-01-21,2002-06-07
g.1232jp0t,people.deceased_person,宮沢昭,1927-12-06,2000-07-06
g.123609qq,people.deceased_person,Michel Breitman,1926-08-10,2009-05-16
g.1236ym6x,people.person,Guy Lacourt,1910-08-07,1984-08-15
g.123727qp,people.deceased_person,Erich Zander,1906-09-07,1985-03-12
g.1237_kq4,people.person,Rolf Kruse,1940-07-19,
g.1237d02w,people.person,Clemens Große Macke,1959-07-19,
g.12384_z6,people.person,Ivo Henzi,1983,
g.12384r24,people.person,Bernd Klaus,1967-12-19,
g.1238s6j8,people.person,谷村有美,1967-10-17,
g.1239_cy8,people.deceased_person,Wilson Batista,1913-07-03,1968-07-07
g.123b3xvt,people.deceased_person,Gudench Barblan,1860-01-24,1916-10-05
g.125_jbc41,people.person,Aljo Bendijo,1974-02-06,
g.125n1q46f,people.person,吉澤嘉代子,1990-06-04,
